context,question,answer_text,answer_start,all_answers
any tax levied on the passing of title to property,hypernym,tax,4,['tax']
contraception by surgical sterilization,hypernym,contraception,0,"['contraception', 'sterilization']"
the intense dislike for and prejudice against Jewish people,hypernym,prejudice,28,['prejudice']
a corporation authorized by Congress to provide a secondary market for residential mortgages,hypernym,corporation,2,['corporation']
a ballplayer who is designated to bat in place of the pitcher,hypernym,ballplayer,2,['ballplayer']
an unauthorized copy or imitation,hypernym,copy,16,['copy']
the position of ruler,hypernym,position,4,['position']
a line of approach,hypernym,approach,10,['approach']
someone whose occupation is to apply an overlay of gold or gilt,hypernym,someone,0,['someone']
a distinguishing trait,hypernym,trait,17,['trait']
genus of herbs usually growing in salt marshes: water pimpernels,hypernym,genus,0,['genus']
oval-shaped edible seed of the almond tree,hypernym,almond,31,"['almond', 'almond tree', 'seed', 'tree']"
people who are wounded,hypernym,people,0,['people']
deed embodying a mortgage,hypernym,deed,0,['deed']
a maneuver in a game or conversation,hypernym,maneuver,2,['maneuver']
a wide scenic road planted with trees,hypernym,road,14,['road']
the hide of a goat,hypernym,hide,4,['hide']
a female baton twirler who accompanies a marching band,hypernym,baton twirler,9,"['baton twirler', 'twirler']"
explosive powder (nitroglycerin and guncotton and petrolatum) dissolved in acetone and dried and extruded in brown cords,hypernym,explosive,0,['explosive']
a duct that carries tears from the lacrimal sac to the nasal cavity,hypernym,duct,2,['duct']
a noticeable deterioration in performance or quality,hypernym,deterioration,13,['deterioration']
any fixture in a bathroom,hypernym,fixture,4,['fixture']
(biology) a taxonomic group comprising a major division of a kingdom,hypernym,taxonomic group,12,"['taxonomic group', 'group']"
a shoe consisting of a sole fastened by straps to the foot,hypernym,shoe,2,['shoe']
the capital and largest city of Guatemala,hypernym,Guatemala,32,"['Guatemala', 'capital', 'city']"
the act of throwing a fishing line out over the water by means of a rod and reel,hypernym,fishing,22,"['fishing', 'act']"
any of several insects living on the bark of plants,hypernym,insects,15,['insects']
annihilation by pulverizing something,hypernym,annihilation,0,['annihilation']
an embellishing note usually written in smaller size,hypernym,note,16,['note']
large dish-faced owl of northern North America and western Eurasia,hypernym,owl,17,['owl']
temporal artery that supplies the posterior part of the cortex of the temporal lobe,hypernym,temporal artery,0,"['temporal artery', 'artery', 'part']"
a company that provides shipping services,hypernym,company,2,['company']
small yellowwood tree of southern United States having small fragrant white flowers; leaves and bark yield a yellow dye,hypernym,yellowwood,6,"['yellowwood', 'yellowwood tree', 'tree']"
slang that replaces words with rhyming words or expressions and then typically omits the rhyming component,hypernym,slang,0,['slang']
the trait of being manly; having the characteristics of an adult male,hypernym,trait,4,['trait']
flag consisting of a piece of white cloth that is hoisted to signal surrender or to ask for a truce,hypernym,flag,0,['flag']
a book containing common expressions in a foreign language along with their translations,hypernym,book,2,['book']
a woman prophet,hypernym,prophet,8,['prophet']
a relation between linguistic forms or constituents,hypernym,relation,2,['relation']
French mathematician who developed Fourier analysis and studied the conduction of heat (1768-1830),hypernym,mathematician,7,['mathematician']
outlying areas (as of a city or town),hypernym,areas,9,['areas']
any plant of the genus Stevia or the closely related genus Piqueria having glutinous foliage and white or purplish flowers; Central and South America,hypernym,plant,4,['plant']
someone who lives near wharves and lives by pilfering from ships or warehouses,hypernym,someone,0,['someone']
the experience of thinking that a new situation had occurred before,hypernym,experience,4,['experience']
surface tension at the surface separating two non-miscible liquids,hypernym,surface tension,0,['surface tension']
an agency that makes inquiries for its clients,hypernym,agency,3,['agency']
